"id","mem","mem_free","processors","instance_uptime","uptime","systemload_average","heap_committed","heap_init","heap_used","heap","nonheap_committed","nonheap_init","nonheap_used","nonheap","threads_peak","threads_total_started","threads","classes","classes_loaded","classes_unloaded","gc_ps_scavenge_count","gc_ps_scavenge_time","gc_ps_marksweep_count","gc_ps_marksweep_time","httpsessions_max","httpsessions_active","gauge_response_test","counter_status200test","counter_status500test","updated_time"
80,"455508","249366","4","2981724","2990253",-1.0,"398336","65536","148969","913920","60264","2496","57172","0","34","39","34","6267","6267","0","863","5269","2","401",-1,"0","36.0","1904614",,2019-03-27 02:17:55
81,"455508","119298","4","3011862","3020390",-1.0,"398336","65536","279037","913920","60264","2496","57172","0","34","39","34","6267","6267","0","869","5294","2","401",-1,"0","21.0","1930630",,2019-03-27 02:18:25
82,"455508","332773","4","3041994","3050522",-1.0,"398336","65536","65562","913920","60264","2496","57172","0","34","39","34","6267","6267","0","876","5379","2","401",-1,"0","28.0","1956572",,2019-03-27 02:18:55
83,"454992","217004","4","3072129","3080657",-1.0,"397824","65536","180819","913920","60264","2496","57168","0","34","39","34","6267","6267","0","882","5464","2","401",-1,"0","26.0","1982397",,2019-03-27 02:19:25
84,"454479","83402","4","3102258","3110786",-1.0,"397312","65536","313909","913920","60264","2496","57167","0","34","39","34","6267","6267","0","888","5493","2","401",-1,"0","26.0","2008395",,2019-03-27 02:19:55
85,"454991","329645","4","3132402","3140929",-1.0,"397824","65536","68178","913920","60264","2496","57167","0","34","39","34","6267","6267","0","895","5526","2","401",-1,"0","21.0","2033904",,2019-03-27 02:20:25
86,"454994","212192","4","3162561","3171088",-1.0,"397824","65536","185631","913920","60264","2496","57170","0","34","39","34","6267","6267","0","901","5560","2","401",-1,"0","24.0","2059730",,2019-03-27 02:20:55
87,"455008","95496","4","3192698","3201226",-1.0,"397824","65536","302327","913920","60264","2496","57184","0","34","39","34","6267","6267","0","907","5609","2","401",-1,"0","24.0","2085510",,2019-03-27 02:21:26
88,"454488","318426","4","3222928","3231456",-1.0,"397312","65536","78885","913920","60264","2496","57176","0","34","39","34","6267","6267","0","914","5718","2","401",-1,"0","34.0","2111311",,2019-03-27 02:21:56
89,"453976","183185","4","3253027","3261555",-1.0,"396800","65536","213614","913920","60264","2496","57176","0","34","39","34","6267","6267","0","920","5745","2","401",-1,"0","15.0","2137310",,2019-03-27 02:22:26
